0.11D+08                                              +-  H  He C  O  S  G    
 JSPACE =            1
  64 HSS         0  1  0  0  0  0  0  2  0  0  0  0  0  0  0.16382118D-12
  65 N2O         0  0  0  0  2  1  0  0  0  0  0  0  0  0  0.16173877D-09
  66 NaOH        0  1  0  0  0  1  0  0  0  1  0  0  0  0  0.38485324D-13
  67 NH2         0  2  0  0  1  0  0  0  0  0  0  0  0  0  0.28017118D-09
  68 NO2         0  0  0  0  1  2  0  0  0  0  0  0  0  0  0.00000000D+00
  69 O2H         0  1  0  0  0  2  0  0  0  0  0  0  0  0  0.30685350D-11
  70 OCN         0  0  0  1  1  1  0  0  0  0  0  0  0  0  0.60198650D-10
  71 OCS         0  0  0  1  0  1  0  1  0  0  0  0  0  0  0.15161416D-09
  72 PH2         0  2  0  0  0  0  0  0  0  0  0  0  1  0  0.23121021D-14
  73 c-SiC2      0  0  0  2  0  0  1  0  0  0  0  0  0  0  0.31078847D-12
  74 SiH2        0  2  0  0  0  0  1  0  0  0  0  0  0  0  0.18453315D-14
  75 SiNC        0  0  0  1  1  0  1  0  0  0  0  0  0  0  0.14804658D-15
  76 SiO2        0  0  0  0  0  2  1  0  0  0  0  0  0  0  0.21020745D-10
  77 C4          0  0  0  4  0  0  0  0  0  0  0  0  0  0  0.22185933D-12
  78 c-C3H       0  1  0  3  0  0  0  0  0  0  0  0  0  0  0.33340626D-11
  79 l-C3H       0  1  0  3  0  0  0  0  0  0  0  0  0  0  0.28030949D-11
  80 CH3         0  3  0  1  0  0  0  0  0  0  0  0  0  0  0.15517522D-10
  81 C2H2        0  2  0  2  0  0  0  0  0  0  0  0  0  0  0.59995018D-08
  82 NH3         0  3  0  0  1  0  0  0  0  0  0  0  0  0  0.19613028D-07
  83 SiCH2       0  2  0  1  0  0  1  0  0  0  0  0  0  0  0.68881690D-13
  84 C3N         0  0  0  3  1  0  0  0  0  0  0  0  0  0  0.16963815D-12
  85 C3O         0  0  0  3  0  1  0  0  0  0  0  0  0  0  0.11239781D-10
  86 C3P         0  0  0  3  0  0  0  0  0  0  0  0  1  0  0.44718272D-17
  87 C3S         0  0  0  3  0  0  0  1  0  0  0  0  0  0  0.12513795D-11
  88 H2CO        0  2  0  1  0  1  0  0  0  0  0  0  0  0  0.67258084D-09
  89 H2CS        0  2  0  1  0  0  0  1  0  0  0  0  0  0  0.36546061D-10
  90 HOOH        0  2  0  0  0  2  0  0  0  0  0  0  0  0  0.70606925D-12
  91 HSSH        0  2  0  0  0  0  0  2  0  0  0  0  0  0  0.11226883D-12
  92 H2SiO       0  2  0  0  0  1  1  0  0  0  0  0  0  0  0.17671139D-15
  93 HCCP        0  1  0  2  0  0  0  0  0  0  0  0  1  0  0.38737578D-16
  94 HCCSi       0  1  0  2  0  0  1  0  0  0  0  0  0  0  0.12074081D-10
  95 l-SiC3      0  0  0  3  0  0  1  0  0  0  0  0  0  0  0.23005611D-13
  96 SiH3        0  3  0  0  0  0  1  0  0  0  0  0  0  0  0.29168726D-18
  97 H2CN        0  2  0  1  1  0  0  0  0  0  0  0  0  0  0.15047692D-12
  98 C5          0  0  0  5  0  0  0  0  0  0  0  0  0  0  0.16694955D-13
  99 c-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0.31882236D-10
 100 l-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0.25566031D-10
 101 C4H         0  1  0  4  0  0  0  0  0  0  0  0  0  0  0.29091011D-12
 102 CH4         0  4  0  1  0  0  0  0  0  0  0  0  0  0  0.98675044D-07
 103 HC3N        0  1  0  3  1  0  0  0  0  0  0  0  0  0  0.15401755D-11
 104 H2CCN       0  2  0  2  1  0  0  0  0  0  0  0  0  0  0.37313649D-12
 105 H2CCO       0  2  0  2  0  1  0  0  0  0  0  0  0  0  0.23942971D-09
 106 C2H3        0  3  0  2  0  0  0  0  0  0  0  0  0  0  0.89757570D-12
 107 C4N         0  0  0  4  1  0  0  0  0  0  0  0  0  0  0.13179604D-13
 108 C4P         0  0  0  4  0  0  0  0  0  0  0  0  1  0  0.41075104D-17
 109 C4S         0  0  0  4  0  0  0  1  0  0  0  0  0  0  0.73168263D-14
 110 HCOOH       0  2  0  1  0  2  0  0  0  0  0  0  0  0  0.62021690D-09
 111 CH2PH       0  3  0  1  0  0  0  0  0  0  0  0  1  0  0.15160598D-16
 112 CH2NH       0  3  0  1  1  0  0  0  0  0  0  0  0  0  0.42255066D-10
 113 c-HCCHSi    0  2  0  2  0  0  1  0  0  0  0  0  0  0  0.36677855D-12
 114 SiC3H       0  1  0  3  0  0  1  0  0  0  0  0  0  0  0.29906590D-14
 115 SiC4        0  0  0  4  0  0  1  0  0  0  0  0  0  0  0.86655901D-18
 116 SiCH3       0  3  0  1  0  0  1  0  0  0  0  0  0  0  0.71936865D-14
 117 SiH4        0  4  0  0  0  0  1  0  0  0  0  0  0  0  0.13258362D-15
 118 HCNCC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0.23461348D-13
 119 HCCNC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0.18964911D-12
 120 HNCCC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0.33892463D-13
 121 NH2CN       0  2  0  1  2  0  0  0  0  0  0  0  0  0  0.00000000D+00
 122 C6          0  0  0  6  0  0  0  0  0  0  0  0  0  0  0.14084784D-16
 123 CH3CN       0  3  0  2  1  0  0  0  0  0  0  0  0  0  0.24177664D-11
 124 CH2CCH      0  3  0  3  0  0  0  0  0  0  0  0  0  0  0.30097581D-14
